GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,MenuViewer,0,61,0,4,0,12,0,6,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,CustomizeMenuViewer,64,280,8,18,8,51,6,15,0,8
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,GameOverViewer,0,164,0,8,0,23,0,8,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,StatsMenuViewer,0,152,0,4,0,21,0,6,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,PauseMenuViewer,0,62,0,4,0,13,0,6,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,InstructionsMenuViewer,0,499,1,9,0,78,1,15,0,9
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,InstructionsMenu,0,44,0,4,0,16,0,9,0,7
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,PauseMenu,0,114,0,2,0,18,0,13,0,12
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,StatsMenu,0,27,0,0,0,10,0,5,0,5
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,GameOverMenu,0,106,0,2,0,20,0,14,0,13
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,Menu,0,125,0,2,0,17,0,13,0,12
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,Option,0,12,0,0,0,1,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,CustomizeMenu,0,869,0,30,0,94,0,43,0,28
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,ColorPaletteMenu,0,65,0,2,0,17,0,10,0,9
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,LogoImages,3,416,0,0,1,2,1,2,1,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,RoadItemsImages,3,400,0,0,1,2,1,2,1,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,ToolImages,3,1106,0,0,1,14,1,8,1,8
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,KidImages,3,714,0,0,1,6,1,4,1,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,CarImage,3,424,0,0,1,2,1,2,1,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,HUDImages,3,585,0,0,1,8,1,5,1,5
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,JoeImages,3,2817,0,0,1,16,1,9,1,9
CrossingGuardJoe,com.CrossingGuardJoe.model,Position,0,66,0,8,0,15,0,11,0,7
CrossingGuardJoe,com.CrossingGuardJoe.gui,LanternaGUI,55,338,4,20,9,88,5,30,2,18
CrossingGuardJoe,com.CrossingGuardJoe.gui,GUI.ACTION,0,51,0,0,0,2,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.Font,FontImages,3,2390,0,0,1,6,1,4,1,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.Font,FontImageFactory,0,252,2,30,0,44,2,19,0,5
CrossingGuardJoe,com.CrossingGuardJoe.model.game.elements,Car,0,5,0,0,0,2,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.model.game.elements,Kid,0,104,0,0,0,41,0,20,0,20
CrossingGuardJoe,com.CrossingGuardJoe.model.game.elements,Joe,0,170,0,4,0,62,0,24,0,22
CrossingGuardJoe,com.CrossingGuardJoe.model.game.elements,Element,0,17,0,0,0,6,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states,GameState,0,18,0,0,0,3,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states,State,0,31,0,0,0,10,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe,Game,50,74,4,4,16,22,4,10,2,8
CrossingGuardJoe,com.CrossingGuardJoe.viewer.game.elements,ElementViewer,0,3,0,0,0,1,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.viewer.game.elements,KidView,0,63,0,10,0,13,0,7,0,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.game.elements,JoeView,0,82,0,16,0,19,0,10,0,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.game.elements,CarView,0,9,0,0,0,3,0,2,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller.game.elements,JoeController,4,288,4,39,2,70,4,33,0,14
CrossingGuardJoe,com.CrossingGuardJoe.controller.game.elements,KidController,94,469,42,59,22,111,37,33,0,16
CrossingGuardJoe,com.CrossingGuardJoe.controller.game.elements,CarController,0,50,0,4,0,11,0,5,0,3
CrossingGuardJoe,com.CrossingGuardJoe.controller.menu,InstructionsMenuController,0,32,0,4,0,13,0,5,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller.menu,GameOverMenuController,0,71,0,8,0,21,0,7,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller.menu,CustomizeMenuController,0,134,0,14,0,41,0,13,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller.menu,MenuController,6,80,1,11,2,17,1,8,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller.menu,PauseMenuController,0,83,0,10,0,25,0,8,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller.menu,StatsMenuController,0,10,0,2,0,5,0,3,0,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.generator,Shape,3,98,0,10,1,20,1,6,1,1
CrossingGuardJoe,com.CrossingGuardJoe.controller,Sounds.SFX,0,123,0,0,0,5,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.controller,SoundsController,3,292,4,31,1,63,4,32,0,6
CrossingGuardJoe,com.CrossingGuardJoe.controller,Controller,0,9,0,0,0,4,0,2,0,2
CrossingGuardJoe,com.CrossingGuardJoe.controller,Sounds,0,89,0,4,0,29,0,9,0,7
CrossingGuardJoe,com.CrossingGuardJoe.model.game,Road,0,62,0,4,0,19,0,13,0,11
CrossingGuardJoe,com.CrossingGuardJoe.model.game,AuxCarCheck,3,32,0,6,1,6,1,5,1,2
CrossingGuardJoe,com.CrossingGuardJoe.model.game,RoadBuilder,34,170,3,9,6,36,2,13,0,9
CrossingGuardJoe,com.CrossingGuardJoe.states.menu,InstructionsMenuState,0,18,0,0,0,4,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states.menu,MenuState,0,18,0,0,0,4,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states.menu,CustomizeMenuState,0,18,0,0,0,4,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states.menu,GameOverState,0,18,0,0,0,4,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states.menu,StatsMenuState,0,18,0,0,0,4,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.states.menu,PauseMenuState,0,18,0,0,0,4,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.viewer,ColorCustomize,0,34,0,0,0,8,0,5,0,5
CrossingGuardJoe,com.CrossingGuardJoe.viewer,Viewer,0,17,0,0,0,8,0,3,0,3
CrossingGuardJoe,com.CrossingGuardJoe.viewer,Color,0,260,0,4,0,38,0,7,0,5
CrossingGuardJoe,com.CrossingGuardJoe.controller.game,AuxCheckRange,3,142,5,23,1,14,6,13,1,4
CrossingGuardJoe,com.CrossingGuardJoe.controller.game,GameController,0,7,0,0,0,3,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.controller.game,RoadController,13,132,2,8,2,26,2,5,0,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.game,GameViewer,0,290,0,6,0,48,0,12,0,9
